Date : 2025-08-17 20:17:21
Directory : c:\Users\Eric\Desktop\coach.pro.python
Total : 84 files,  3982 codes, 100 comments, 797 blanks, all 4879 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         78 |      3,675 |        100 |        778 |      4,553 |
| Markdown         |          3 |        128 |          0 |          3 |        131 |
| MS SQL           |          1 |        115 |          0 |         13 |        128 |
| pip requirements |          1 |         37 |          0 |          0 |         37 |
| YAML             |          1 |         27 |          0 |          3 |         30 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |         84 |      3,982 |        100 |        797 |      4,879 |
| . (Files)                                                                                            |          5 |        138 |          4 |         23 |        165 |
| .github                                                                                              |          1 |         27 |          0 |          3 |         30 |
| .github\workflows                                                                                    |          1 |         27 |          0 |          3 |         30 |
| controllers                                                                                          |          2 |         71 |          0 |         11 |         82 |
| db                                                                                                   |          4 |        278 |          0 |         49 |        327 |
| models                                                                                               |         10 |        150 |          0 |         40 |        190 |
| navigation                                                                                           |          1 |          0 |          0 |          2 |          2 |
| repositories                                                                                         |          8 |        645 |          5 |         71 |        721 |
| services                                                                                             |          5 |        317 |         15 |         72 |        404 |
| tree-maker                                                                                           |          1 |        117 |          0 |          0 |        117 |
| ui                                                                                                   |         46 |      2,239 |         76 |        524 |      2,839 |
| ui\components                                                                                        |         11 |        293 |          8 |         95 |        396 |
| ui\components (Files)                                                                                |          7 |        234 |          5 |         69 |        308 |
| ui\components\design_system                                                                          |          4 |         59 |          3 |         26 |         88 |
| ui\layout                                                                                            |          3 |         80 |          5 |         23 |        108 |
| ui\modals                                                                                            |          3 |        217 |          4 |         42 |        263 |
| ui\pages                                                                                             |         26 |      1,617 |         50 |        340 |      2,007 |
| ui\pages (Files)                                                                                     |         13 |        768 |         23 |        184 |        975 |
| ui\pages\client_detail_page_components                                                               |          5 |        365 |          1 |         69 |        435 |
